file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count
R2_10_E_1,-41.7,-20.8,-20.8,-29.8,-17.9,0,0,0,-62.5,0,0,0,0,0,0,0,0,0,3,0,0,116,104.2,5.9,0,0,0,0,0,0,0,0,8.9,0,0,0,-20.8,-20.8,0,3,-20.8,0,0,0,0,0,0,0,0,3,-41.7,5.9,0,0,0,8.9,-80.4,0,-71.5,-20.8,0,0,0,0,0,0,-20.8,0,-20.8,3,0,3,0,0,0,0,-17.9,3,0,53.6,47.6,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.8,0,0,-20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5.9,0,0,0,0,0,3,0,0,0,0,0,5.9,0,-59.5,0,0,0,0,0,-21.39,0,0.62,-13.53,0,,-1,-0.1,-6
R2_13_J_1,27,0,-35.7,28,-17.3,0,-8.7,0,-44.4,0,0,0,0,0,0,0,0,0,0,0,0,-42.5,9.7,27,0,0,0,0,0,0,0,0,-26,0,0,-8.7,0,-17.3,0,0,0,0,0,0,0,0,0,0,-8.7,0,-17.3,0,0,0,0,81.1,-61.8,-8.7,-7.8,-35.7,0,0,0,0,0,0,-8.7,0,0,0,0,54.1,0,0,0,0,27,54.1,0,-7.8,-8.7,-44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.7,54.1,-8.7,0,0,0,0,0,27,-17.3,0,27,0,0,0,0,0,-3.73,0,-1.31,-4.14,0,,1.3,-0.1,9
R2_14_J_1,-23.8,0,-47.6,-14.8,-5.9,0,0,0,-26.8,0,0,0,0,-23.8,0,0,0,-3,-26.8,0,0,-38.7,29.8,-5.9,0,0,0,0,0,-3,0,0,0,0,-3,0,0,-23.8,20.8,20.8,0,0,0,20.8,0,0,0,0,-23.8,0,-26.8,-5.9,20.8,0,-3,-5.9,-32.7,-23.8,9,20.8,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,0,0,0,-8.9,17.9,0,-17.9,-17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9,-3,0,0,0,0,0,0,0,-23.8,0,-23.8,0,0,20.8,0,0,-24.95,0,-0.62,10.52,3.16,,1.2,0,6
R2_20_J_1,0,0,-4.6,20.6,-4.6,0,0,-4.6,-52.6,12.6,-4.6,0,0,0,0,0,0,0,0,0,21.7,6.9,25.1,-4.6,0,21.7,0,0,0,0,0,0,0,0,-52.6,-9.1,0,-30.9,0,-4.6,0,0,0,0,0,0,-4.6,0,0,-26.3,-30.9,-9.1,0,0,0,-30.9,-35.4,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-9.1,0,0,-26.3,0,17.2,-9.1,0,-32,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,-4.6,0,-4.6,21.7,0,0,0,0,0,0,0,-4.6,0,0,0,0,-4.6,0,0,5.8,0.97,16,-9.44,0,,1,-0.2,8
R2_21_J_3,0,0,-41.7,-62.5,0,0,0,0,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,6,-11.9,122.1,-2.9,17.9,0,0,0,0,0,0,-11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,71.4,17.9,-2.9,-65.4,0,-47.6,0,0,0,0,0,0,0,0,35.7,0,17.9,0,0,0,0,-8.9,-2.9,0,8.9,14.9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9,0,0,-2.9,0,17.9,0,0,17.9,0,0,0,-2.9,-20.8,0,0,0,0,0,-11.67,0.69,-0.83,0,0,,1.5,0.1,8
R2_6_E_1,17.9,0,18.2,71,-18.8,-18.5,0,0,-0.3,0,0,0,0,-18.5,0,0,0,-18.5,0,0,0,-24.9,16.2,54.2,-0.6,0,0,0,0,0,0,0,17.9,-18.5,-18.5,-18.5,0,0,0,18.2,0,0,-18.5,0,0,0,0,0,0,0,-18.5,18.2,0,0,0,53.5,-19.2,-0.3,70.4,0,-0.6,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,-0.6,17.1,0,-41.1,16.8,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,-18.5,0,0,0,0,0,0,0,0,-0.3,0,18.2,18.2,0,0,0,0,-20.03,-0.02,13.03,8.27,-11.58,,-0.3,0.3,1
R2_6_E_2,-31.2,-31.3,-31.3,-125,31.2,0,-31.3,0,-62.5,0,0,0,0,0,0,0,0,31.2,-31.3,0,0,0,31.2,31.3,0,0,0,0,0,0,0,0,31.2,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,0,31.2,0,0,0,0,93.7,-31.2,-31.3,-62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.3,0,0,-31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,-31.3,0,0,0,0,0,31.3,0,0,0,-31.2,0,0,0,0,0,-23.45,0,2.17,14.21,0,,0,0.2,0
R2_7_E_2,1.3,0,0,-7.5,-65.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,40.4,1.3,0,0,0,0,0,0,0,0,1.3,-13.9,2.5,-10.1,0,0,0,0,0,0,0,1.3,0,1.3,0,1.3,0,0,0,0,2.5,0,0,22.8,-65.6,-13.9,-18.9,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,15.2,5,0,45.4,7.6,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,3.8,0,30.3,-27.8,0,0,0,0,0,0,0,-25.3,0,1.3,0,0,0,0,0,-7.1,0,3.89,0,0.6,,-0.2,-0.1,-6
R2_8_E_2,-16.4,0,-16.4,-54.8,-16.4,0,0,3.6,-65.6,0,0,0,0,0,0,0,0,0,1.8,0,0,63.2,43.5,-11.1,0,1.8,0,0,0,0,0,0,0,1.8,0,3.6,18.2,-14.6,0,18.2,0,0,0,3.6,0,0,0,-14.6,1.8,-16.4,-14.6,20,3.6,0,0,-9.3,-80.2,1.8,-36.6,0,0,1.8,0,0,0,0,0,0,-16.4,0,0,0,0,0,0,0,20,21.7,0,54.3,7.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,-16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.6,0,0,-14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,18.2,0,0,0,0,0,0,0,1.8,-14.6,-31,3.6,0,0,0,0,-9.37,0.08,-0.72,4.79,0.54,,-1.2,0,-6
R2_9_E_2,0,0,0,-84.8,-27.8,0,-27.8,-0.8,0,0,0,0,0,0,0,0,0,0,27,0,0,39.8,53.3,27,0,0,0,0,0,0,0,0,51.8,0,-1.5,27,0,-27.8,0,0,0,0,0,0,0,0,0,0,0,-27.8,-27.8,27,0,0,0,-0.8,-27.8,0,-84.8,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,27,-0.8,0,-3.8,-33,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,-0.8,0,0,0,-27.8,0,0,-9.75,0,2.5,-6.62,0,,0,0.1,1
