file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,,tt_ratio,word_length,word_count,individual
mod_r1_guide_1_conversation.txt,17,4.3,29.8,187.2,68.1,0,12.8,0,63.8,8.5,0,0,4.3,8.5,0,17,0,21.3,4.3,4.3,0,238.3,51.1,4.3,8.5,4.3,0,8.5,0,0,0,0,4.3,4.3,17,38.3,21.3,8.5,0,8.5,4.3,0,4.3,0,0,0,8.5,4.3,0,8.5,34,21.3,0,4.3,0,42.6,136.2,21.3,200,8.5,0,0,0,4.3,0,8.5,4.3,17,0,0,0,4.3,0,4.3,0,4.3,12.8,59.6,0,195.7,25.5,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,4.3,0,0,0,0,0,0,0,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,12.8,0,0,8.5,0,0,8.5,8.5,0,8.5,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8.5,0,4.3,17,4.3,0,0,0,0,0,0,42.6,8.5,21.3,8.5,4.3,17,0,0,26.11,-3.68,-7.13,1.32,-0.97,                             mod_r1_guide_1_conversation.txt,30.5,4.4,235,Guide1t
mod_r1_guide_2_conversation.txt,36,3.6,25.2,165.5,25.2,0,10.8,7.2,54,7.2,0,0,7.2,0,0,3.6,3.6,10.8,3.6,3.6,3.6,266.2,71.9,32.4,10.8,10.8,0,7.2,3.6,0,0,0,32.4,3.6,25.2,25.2,21.6,25.2,0,3.6,3.6,0,3.6,0,0,0,0,3.6,7.2,3.6,39.6,7.2,0,7.2,3.6,54,89.9,10.8,176.3,0,10.8,0,0,3.6,0,7.2,0,21.6,0,0,0,10.8,0,0,0,0,10.8,75.5,0,194.2,28.8,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,14.4,0,0,7.2,0,0,7.2,3.6,0,3.6,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,3.6,3.6,3.6,25.2,3.6,3.6,0,0,0,0,3.6,21.6,10.8,43.2,3.6,0,10.8,0,0,17.11,-3.56,-4.53,2.74,-1.38,                             mod_r1_guide_2_conversation.txt,32.8,4.3,278,Guide1t
mod_r1_guide_3_conversation.txt,21.8,2.7,21.8,141.7,70.8,2.7,2.7,0,38.1,10.9,0,0,5.4,13.6,0,2.7,0,21.8,5.4,0,0,234.3,81.7,13.6,10.9,0,0,0,0,0,0,5.4,10.9,5.4,16.3,43.6,16.3,16.3,0,0,8.2,0,5.4,2.7,0,0,5.4,2.7,0,5.4,46.3,16.3,2.7,0,0,59.9,109,13.6,163.5,0,13.6,0,0,0,0,0,5.4,5.4,2.7,0,0,2.7,0,0,2.7,8.2,27.2,73.6,0,193.5,16.3,32.7,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,2.7,5.4,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,2.7,10.9,19.1,0,8.2,10.9,0,0,0,0,0,0,0,40.9,2.7,38.1,5.4,0,0,2.7,0,15.93,-5.37,-5.09,1.18,0.19,                             mod_r1_guide_3_conversation.txt,28.3,4,367,Guide1t
mod_r1_guide_4_conversation.txt,4.6,0,32.1,142.2,41.3,0,27.5,4.6,55,9.2,0,0,9.2,4.6,0,0,4.6,13.8,0,0,9.2,243.1,68.8,36.7,0,4.6,0,0,0,0,0,4.6,41.3,4.6,4.6,73.4,18.3,18.3,0,4.6,0,0,4.6,0,0,0,0,0,0,9.2,32.1,9.2,0,4.6,0,73.4,100.9,27.5,160.6,9.2,13.8,0,0,0,0,0,0,4.6,0,0,0,27.5,4.6,0,0,0,32.1,45.9,0,174.3,13.8,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,9.2,0,9.2,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,4.6,0,4.6,9.2,9.2,4.6,13.8,4.6,0,0,0,0,0,13.8,4.6,4.6,9.2,9.2,0,22.9,0,0,19.72,-5.52,-1.29,-0.15,-0.76,                             mod_r1_guide_4_conversation.txt,28.8,4.3,218,Guide1t
mod_r1_guide_5_conversation.txt,12.8,0,33.3,141,59,2.6,7.7,12.8,28.2,0,2.6,0,0,5.1,0,7.7,2.6,25.6,2.6,0,0,264.1,89.7,5.1,2.6,5.1,0,2.6,0,0,0,2.6,17.9,7.7,23.1,46.2,17.9,25.6,0,5.1,0,2.6,7.7,2.6,0,0,0,5.1,7.7,7.7,51.3,10.3,2.6,2.6,0,41,92.3,2.6,159,2.6,10.3,0,0,0,0,2.6,2.6,7.7,0,0,0,15.4,0,0,0,5.1,33.3,66.7,0,202.6,30.8,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0,0,0,0,0,2.6,0,0,5.1,0,0,5.1,17.9,0,17.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,2.6,5.1,7.7,0,15.4,5.1,2.6,0,0,0,0,0,0,38.5,2.6,41,7.7,0,5.1,5.1,0,15.71,-4.94,-8.44,2.86,1.57,                             mod_r1_guide_5_conversation.txt,25.8,4.1,390,Guide1t
mod_r1_guide_6_conversation.txt,31.8,3.3,40.1,150.5,43.5,1.7,3.3,8.4,45.2,11.7,10,0,0,5,0,8.4,1.7,26.8,3.3,5,1.7,252.5,81.9,21.7,8.4,13.4,3.3,3.3,0,0,0,0,20.1,5,16.7,38.5,20.1,18.4,0,5,0,0,6.7,1.7,0,0,6.7,5,3.3,6.7,45.2,15.1,1.7,6.7,0,50.2,102,10,172.2,3.3,5,1.7,0,3.3,0,1.7,1.7,20.1,1.7,0,0,10,5,0,0,0,31.8,56.9,1.7,197.3,23.4,36.8,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,5,1.7,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,1.7,0,0,1.7,3.3,0,0,8.4,0,0,8.4,1.7,1.7,3.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,1.7,0,0,16.7,10,5,11.7,13.4,0,0,0,0,0,1.7,10,31.8,6.7,40.1,5,1.7,6.7,0,0,22.83,-3.6,-6.17,0.05,0.81,                             mod_r1_guide_6_conversation.txt,28.3,4.3,598,Guide1t
mod_r2_guide_1_conversation_a.txt,0,0,21.3,127.7,53.2,0,0,0,42.6,0,0,0,10.6,10.6,0,10.6,0,10.6,0,0,10.6,297.9,85.1,10.6,31.9,0,0,0,0,0,0,10.6,21.3,21.3,21.3,74.5,21.3,10.6,0,0,0,0,10.6,0,0,0,10.6,0,0,0,21.3,21.3,0,0,0,53.2,95.7,31.9,170.2,10.6,0,0,0,0,0,0,0,0,0,0,10.6,21.3,0,0,0,10.6,31.9,10.6,10.6,202.1,42.6,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,31.9,0,10.6,0,10.6,0,0,0,0,0,0,21.3,10.6,10.6,10.6,0,21.3,0,0,9.54,-4.68,-10.18,-4.07,3.02,                           mod_r2_guide_1_conversation_a.txt,18,4.3,94,Guide1t
mod_r2_guide_10_conversation_e.txt,35.3,11.8,35.3,141.2,35.3,0,0,0,58.8,11.8,0,0,0,0,0,0,0,0,11.8,0,11.8,376.5,82.4,47.1,0,0,0,11.8,0,0,0,0,35.3,0,0,35.3,11.8,23.5,0,11.8,11.8,0,11.8,0,0,0,0,11.8,0,11.8,35.3,23.5,0,0,0,70.6,94.1,0,164.7,11.8,11.8,0,0,0,0,11.8,11.8,11.8,11.8,11.8,0,11.8,0,0,0,0,23.5,58.8,0,270.6,47.1,70.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,23.5,0,0,23.5,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,23.5,11.8,0,11.8,11.8,0,11.8,0,11.8,0,0,0,23.5,11.8,58.8,0,0,11.8,0,0,-0.58,-3.55,1.42,9.95,3.73,                          mod_r2_guide_10_conversation_e.txt,16.8,4.4,85,Guide2t
mod_r2_guide_11_conversation_j.txt,16.9,0,16.9,118.6,101.7,0,0,0,0,16.9,0,0,0,0,0,0,0,16.9,0,0,0,220.3,118.6,0,0,0,0,0,0,0,0,0,0,16.9,0,33.9,33.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,16.9,101.7,16.9,152.5,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,16.9,101.7,0,135.6,67.8,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,0,0,0,16.9,0,33.9,16.9,0,0,0,0,0,0,0,67.8,0,16.9,0,0,16.9,0,0,0.98,-5.73,-5.8,-2.57,-3.63,                          mod_r2_guide_11_conversation_j.txt,10.5,4,59,Guide3t
mod_r2_guide_12_conversation_j.txt,37,37,37,166.7,55.6,0,18.5,18.5,18.5,0,18.5,0,0,0,0,0,0,0,0,0,0,333.3,111.1,0,0,0,0,0,0,0,0,0,37,0,37,55.6,0,55.6,0,0,0,0,18.5,0,0,0,0,0,0,18.5,55.6,0,0,0,0,37,74.1,18.5,148.1,0,0,0,0,0,0,0,0,0,0,18.5,0,18.5,0,0,0,0,18.5,18.5,0,166.7,92.6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,37,0,0,37,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,18.5,0,0,37,0,0,0,0,0,0,0,55.6,0,37,0,0,0,0,0,9.95,-5.73,-10.5,6.62,7.95,                          mod_r2_guide_12_conversation_j.txt,12,4.8,54,Guide3t
