Target Style, Filename, Line Number, Original Sentence, Modified Sentence, Feature replaced, Feature attributed
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,historic train,train
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,personal favorites,favorites
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,great option,option
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,is always a popular one,is always popular
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,haha ,
DailyDialog,R1\guide_1_conversation.txt,11,Haha that's perfectly fine!,that's perfectly fine!,haha ,
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,flagstaff's ,
DailyDialog,R1\guide_1_conversation.txt,12,Have a good evening!,i hope you enjoy your evening!,have a good ,i hope you enjoy your 
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,stop in to,stop by
DailyDialog,R1\guide_1_conversation.txt,10,Is there anything else I can help you with today?,is there anything else i can help you today?,help you with,help you
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,going on at,happening
DailyDialog,R1\guide_1_conversation.txt,5,They DO actually have a stuffed animal of Pluto in their exhibit hall but they discovered the dwarf planet Pluto at Lowell.,the exhibit hall does actually have a stuffed pluto but i meant the dwarf planet.,", pluto, at lowell",
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,trip for more information,"trip, we can give you more details"
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,stop by,visit
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,what activities are happening www.flaglive.com for music and events,what music and events are happening at www.flaglive.com
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,and there are route 66 passports at the flagstaff visitor center,our visitor center has route 66 passports
DailyDialog,R1\guide_1_conversation.txt,2,What kinds of places do you like to go? Are you looking for nightlife or karaoke for example?,what places do you like to go? are you looking for nightlife; karaoke?, for example,
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,a lot of,
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,a lot of,
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,a bit of,
DailyDialog,R1\guide_1_conversation.txt,2,What kinds of places do you like to go? Are you looking for nightlife or karaoke for example?,what places do you like to go? are you looking for nightlife; karaoke?,kinds of,
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,in downtown flagstaff,
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,the flagstaff visitor center ,our visitor center 
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there., just because of how steep the hill is to get to it,. the hill is steep to get there
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,have a car,drive
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,extreme adventure course,extreme adventure
DailyDialog,R1\guide_1_conversation.txt,4,If that doesn't interest you we also have Lowell Observatory where they discovered Pluto. The observatory is open until 10pm and they have nighttime viewing of the stars and planets through their telescopes.,if that doesn't attract you we also have lowell observatory where they discovered pluto. the observatory is open late until 10pm and have nighttime viewing of the stars and planets through the telescopes.,interest you,attract you
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,there are always,we always have
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,if you want to look online,you should look online
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,if you want to,to
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,if you want to,to
DailyDialog,R1\guide_1_conversation.txt,4,If that doesn't interest you we also have Lowell Observatory where they discovered Pluto. The observatory is open until 10pm and they have nighttime viewing of the stars and planets through their telescopes.,if that doesn't attract you we also have lowell observatory where they discovered pluto. the observatory is open late until 10pm and have nighttime viewing of the stars and planets through the telescopes.,their t,the t
DailyDialog,R1\guide_1_conversation.txt,5,They DO actually have a stuffed animal of Pluto in their exhibit hall but they discovered the dwarf planet Pluto at Lowell.,the exhibit hall does actually have a stuffed pluto but i meant the dwarf planet.,their e,the e
DailyDialog,R1\guide_1_conversation.txt,4,If that doesn't interest you we also have Lowell Observatory where they discovered Pluto. The observatory is open until 10pm and they have nighttime viewing of the stars and planets through their telescopes.,if that doesn't attract you we also have lowell observatory where they discovered pluto. the observatory is open late until 10pm and have nighttime viewing of the stars and planets through the telescopes.,they have nighttime,have nighttime
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,they have 5 courses,there are 5 courses
DailyDialog,R1\guide_1_conversation.txt,5,They DO actually have a stuffed animal of Pluto in their exhibit hall but they discovered the dwarf planet Pluto at Lowell.,the exhibit hall does actually have a stuffed pluto but i meant the dwarf planet.,they discovered the dwarf planet,i meant the dwarf planet
DailyDialog,R1\guide_1_conversation.txt,5,They DO actually have a stuffed animal of Pluto in their exhibit hall but they discovered the dwarf planet Pluto at Lowell.,the exhibit hall does actually have a stuffed pluto but i meant the dwarf planet.,they do actually have a stuffed animal of pluto in the exhibit hall,the exhibit hall does actually have a stuffed pluto
