file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,,tt_ratio,word_length,word_count,individual
guide_f2f_boarder-control.txt,0,0,142.9,190.5,190.5,0,0,0,95.2,0,0,0,0,0,0,0,0,47.6,0,0,47.6,142.9,47.6,0,47.6,0,47.6,0,0,0,0,0,0,0,0,0,47.6,47.6,0,0,0,0,0,0,0,0,47.6,0,0,47.6,95.2,47.6,0,0,0,47.6,285.7,47.6,285.7,0,0,0,0,0,0,0,0,47.6,0,0,0,190.5,0,0,0,0,0,0,0,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,95.2,0,0,0,0,0,0,0,0,0,0,47.6,0,47.6,0,0,0,0,0,47.32,5,0.97,4.73,-3.63,,4.3,4,21,Boarder control
guide_f2f_boarder-control2.txt,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,200,50,0,0,0,0,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,150,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,150,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,80.52,-5.73,-13.1,-6.61,-3.63,,4.8,4.7,20,Boarder control
guide_f2f_boarder-control3.txt,0,0,0,235.3,176.5,0,0,0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,176.5,58.8,0,58.8,0,0,58.8,0,0,0,0,176.5,0,117.6,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.5,0,235.3,0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6,58.8,0,0,0,0,0,0,31.3,7.1,-24.72,-6.61,-3.63,,3.5,4.7,17,Boarder control
guide_f2f_boarder-control4.txt,13.2,13.2,26.3,131.6,52.6,0,0,13.2,39.5,26.3,0,13.2,0,13.2,0,0,0,0,13.2,0,0,289.5,92.1,0,0,13.2,0,0,0,0,0,0,39.5,0,13.2,13.2,0,26.3,0,0,13.2,0,0,0,0,0,0,0,0,13.2,39.5,26.3,0,0,0,13.2,105.3,13.2,144.7,13.2,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,26.3,39.5,0,197.4,26.3,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,13.2,13.2,13.2,0,13.2,0,0,0,0,0,0,0,0,92.1,0,13.2,0,0,0,0,0,18.28,-5.14,-0.9,5.93,-3.63,,14,4.1,76,Boarder control
guide_f2f_booking.txt,0,0,20,140,80,0,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,300,40,40,0,0,0,0,0,0,0,0,20,0,20,20,0,40,0,20,0,0,0,0,0,0,20,0,0,20,40,40,0,0,0,80,120,20,140,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,20,20,0,220,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,40,20,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,-7.16,-5.73,-4.66,12.01,-3.63,,11.5,4.4,50,Booking
guide_f2f_booking2.txt,43.5,43.5,43.5,130.4,43.5,0,0,0,43.5,43.5,0,0,0,0,0,0,0,43.5,0,0,0,434.8,87,0,43.5,0,0,0,0,0,0,0,43.5,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,43.5,0,0,0,0,43.5,87,43.5,173.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,304.3,0,173.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,43.5,43.5,0,87,0,0,0,0,0,0,0,0,43.5,0,43.5,0,0,43.5,0,0,20.37,-4.3,-8.79,-6.61,-3.63,,5.8,3.8,23,Booking
guide_f2f_booking3.txt,0,0,0,111.1,0,0,0,0,111.1,0,0,0,111.1,0,0,0,0,0,0,0,0,333.3,222.2,0,0,0,0,0,0,0,0,0,0,0,0,111.1,0,111.1,0,0,0,0,0,0,0,0,0,0,0,0,111.1,0,0,0,0,0,111.1,0,111.1,0,0,0,0,0,0,111.1,0,0,0,0,0,111.1,0,0,0,0,0,0,0,222.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.1,0,0,0,0,0,0,29.25,-5.73,-5.34,19.85,-3.63,,2,3.9,9,Booking
guide_f2f_booking4.txt,0,0,24.7,148.1,74.1,0,12.3,0,24.7,24.7,0,0,0,12.3,0,12.3,0,0,0,0,0,271.6,49.4,37,0,0,0,0,0,0,0,0,37,0,0,24.7,12.3,24.7,12.3,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,61.7,98.8,12.3,148.1,0,0,0,0,0,0,24.7,12.3,0,0,0,0,0,0,0,0,0,61.7,37,0,209.9,0,74.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,12.3,12.3,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,37,24.7,0,37,49.4,12.3,0,0,0,0,0,0,0,0,24.7,24.7,0,24.7,0,0,8.73,-5.73,2.14,3.26,-3.63,,15.3,4,81,Booking
guide_f2f_booking5.txt,12.5,0,25,125,50,0,0,12.5,50,0,0,0,12.5,0,0,0,25,12.5,0,0,12.5,262.5,100,50,0,0,0,0,0,0,0,0,12.5,0,0,25,12.5,37.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,50,12.5,0,25,0,50,100,37.5,125,12.5,0,0,0,0,0,0,0,12.5,0,0,0,25,25,0,0,0,37.5,50,0,212.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,25,12.5,0,12.5,37.5,0,0,0,0,0,0,0,0,0,50,12.5,0,25,0,0,47.75,-5.73,0.42,13.01,-3.63,,14.8,3.8,80,Booking
guide_f2f_booking6.txt,25,25,0,150,150,12.5,0,0,37.5,0,0,0,0,0,0,0,12.5,37.5,0,0,0,250,87.5,12.5,0,0,0,0,0,0,0,0,25,25,25,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,12.5,0,12.5,187.5,0,150,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,25,0,175,12.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,25,12.5,0,25,25,0,0,0,0,0,0,0,25,0,50,0,0,12.5,0,0,40.48,-5.73,-11.79,2.32,-3.63,,15.5,4,80,Booking
